source_id,title,risk_tags,canonical_url
"","جعبه ابزار فارسی | ابزار آنلاین فارسی","financial;legal;tax;security;privacy;comparative;statistical","https://persiantoolbox.ir/"
"blog","بلاگ جعبه ابزار فارسی | راهنما و آموزش","financial;legal;tax;security;privacy;comparative;statistical","https://persiantoolbox.ir/blog"
"about","درباره ما - جعبه ابزار فارسی","financial;legal;tax;security;privacy;statistical","https://persiantoolbox.ir/about"
"pricing","قیمت‌گذاری و خرید خروجی حرفه‌ای — جعبه ابزار فارسی","financial;legal;privacy;comparative","https://persiantoolbox.ir/pricing"
"tools-specialized","ابزارهای تخصصی - جعبه ابزار فارسی","financial;legal;tax;security;privacy;comparative;statistical","https://persiantoolbox.ir/tools/specialized"
"pdf-tools-uses","ابزارهای PDF اداری و استخدامی - جعبه ابزار فارسی","financial;legal;privacy","https://persiantoolbox.ir/pdf-tools/uses"
"business-tools","ابزارهای کسب‌وکار رایگان | فاکتور ساز، رسید ساز و صورتحساب آنلاین","financial;legal;tax;privacy","https://persiantoolbox.ir/business-tools"
"business-tools-document-studio","فاکتورساز و رسیدساز آنلاین رایگان | ساخت فاکتور و رسید","financial;legal;tax;privacy","https://persiantoolbox.ir/business-tools/document-studio"
"career-tools","ابزارهای شغلی رایگان | رزومه ساز، گواهی سابقه کار و قرارداد اشتغال","financial;legal;privacy","https://persiantoolbox.ir/career-tools"
"career-tools-resume-builder","رزومه ساز حرفه‌ای رایگان | ساخت رزومه فارسی و انگلیسی","financial;legal;privacy","https://persiantoolbox.ir/career-tools/resume-builder"
"writing-tools","ابزارهای نگارش فارسی رایگان | پاک‌سازی و استانداردسازی متن","financial;legal;privacy;statistical","https://persiantoolbox.ir/writing-tools"
"writing-tools-persian-writing-studio","ویرایشگر فارسی پیشرفته | پاک‌سازی و اصلاح متن آنلاین رایگان","financial;legal;privacy;statistical","https://persiantoolbox.ir/writing-tools/persian-writing-studio"
"topics-validation-tools","ابزارهای اعتبارسنجی — 8 ابزار رایگان فارسی | جعبه ابزار فارسی","financial;legal;security;privacy","https://persiantoolbox.ir/topics/validation-tools"
"topics-contract-tools","ابزارهای قرارداد — 6 ابزار رایگان فارسی | جعبه ابزار فارسی","financial;legal;privacy","https://persiantoolbox.ir/topics/contract-tools"
"topics-business-tools","ابزارهای کسب‌وکار — 1 ابزار رایگان فارسی | جعبه ابزار فارسی","financial;legal;tax;privacy","https://persiantoolbox.ir/topics/business-tools"
"topics-career-tools","ابزارهای شغلی — 3 ابزار رایگان فارسی | جعبه ابزار فارسی","financial;legal;privacy","https://persiantoolbox.ir/topics/career-tools"
"topics-writing-tools","ابزارهای نگارش فارسی — 2 ابزار رایگان فارسی | جعبه ابزار فارسی","financial;legal;privacy;statistical","https://persiantoolbox.ir/topics/writing-tools"
"topics-seo-tools","ابزارهای سئو — 15 ابزار رایگان فارسی | جعبه ابزار فارسی","financial;legal;privacy","https://persiantoolbox.ir/topics/seo-tools"
